generation,best_fitness,mean_fitness,median_fitness,worst_fitness,fitness_std_dev,max_distance,mean_distance,max_progress,mean_progress,num_crashed,num_reached,num_stagnant,mean_time_alive,mean_time_off_road,mean_efficiency,gene_diversity
45,37.506336,-115.206985,-10,-3363.6592,496.13068,1140.7554,34.33126,407.03027,13.716002,190,0,120,334.305,143.97163,0.20001039,0.4634518
46,26.187471,-133.81148,-10,-3339.771,533.6957,915.5307,40.457996,836.99207,16.597448,190,0,129,328.005,135.7104,0.21736899,0.4711323
47,52.47172,-83.87323,-10,-3079.1394,398.25488,1529.0565,51.80314,679.5499,21.364552,185,0,122,354.7,87.05242,0.21015522,0.4647574
48,5.2466507,-104.85278,-10,-3380.0981,485.23868,1428.0183,40.4325,616.90076,14.177561,189,0,128,326.69,116.706474,0.23873642,0.49450168
49,50.43935,-134.38535,-10,-3506.8818,525.19617,1512.9598,66.74778,730.2057,27.754179,183,0,122,380.815,127.60522,0.18496466,0.49494848
50,24.944983,-111.71698,-10,-3384.695,463.18787,1519.89,66.16337,753.0882,27.411388,185,0,129,352.08,112.882385,0.18588525,0.48702917
51,5.156266,-172.26666,-10,-3595.2107,655.1582,1391.2969,44.28674,691.90173,16.521433,186,0,116,366.3,149.88179,0.18604974,0.48438308
52,5.1750145,-128.52771,-10,-3432.0771,521.1078,1375.7311,60.26374,1317.243,24.721582,186,0,122,356.245,132.25983,0.2221451,0.49339423
53,50.673653,-88.07554,-10,-3213.4402,347.38153,1548.957,57.81572,683.5574,21.730453,179,0,123,441.41,124.14627,0.19569474,0.49858844
54,14.833395,-121.68251,-10,-3032.0815,444.8707,1477.3605,71.591385,663.2344,28.377554,184,0,126,365.03,119.55043,0.16809478,0.49438697
55,5.1623454,-65.98147,-10,-3385.5818,346.0564,1547.8086,39.46459,696.996,12.029816,191,0,131,297.905,67.0386,0.19734623,0.5126833
56,5.321439,-81.60934,-10,-2837.8528,369.6803,1418.1488,49.4348,687.06995,16.206362,192,0,121,339.415,83.921455,0.19671518,0.50821537
57,10.244553,-53.158863,-10,-3400.4102,275.43597,1446.9849,37.82461,559.944,14.36169,191,0,121,306.04,74.153046,0.1968949,0.53046703
58,27.44846,-37.19346,-10,-1684.1571,137.82013,940.1906,31.751175,579.3501,10.6230345,192,0,121,327.155,97.327484,0.21416213,0.511361
59,5.312862,-39.95395,-10,-3429.2024,247.31837,929.6309,34.532223,389.22412,10.525447,193,0,120,315.6,81.23332,0.18297917,0.5084665
60,58.300045,-21.604284,-10,-376.785,61.5788,128.06715,13.986376,95.870605,4.8769727,197,0,114,271.635,86.418915,0.20083031,0.505137
61,72.0526,-41.490368,-10,-2147.6318,195.81783,1566.4253,33.802776,745.77124,14.490974,194,0,125,300.5,91.997284,0.22233628,0.5027972
